                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.99169,                 0.5411,                 1.2026,                0.94125,                0.87028,                0.90677,                0.76049,                0.78992,                0.65297,                 1.0208,             0.00011173,             0.00011173,             0.00011173
                     51,                0.97037,                0.52654,                 1.1909,                0.93993,                0.87468,                0.90632,                0.75518,                0.81986,                0.68438,                 1.0438,             0.00010959,             0.00010959,             0.00010959
                     52,                 0.9704,                0.53289,                 1.1903,                0.94875,                0.86982,                0.91021,                0.76481,                0.78431,                 0.6945,                 1.0212,             0.00010744,             0.00010744,             0.00010744
                     53,                0.95234,                0.51825,                 1.1763,                0.95453,                0.86873,                0.90946,                0.76625,                 0.7793,                0.63936,                 1.0194,             0.00010529,             0.00010529,             0.00010529
                     54,                0.95967,                0.52566,                 1.1827,                0.95489,                0.87425,                0.91241,                0.76624,                 0.7971,                0.64381,                 1.0404,             0.00010314,             0.00010314,             0.00010314
                     55,                0.94704,                0.51787,                 1.1727,                0.95266,                0.87491,                0.90956,                0.76522,                0.79374,                0.61146,                  1.035,             0.00010099,             0.00010099,             0.00010099
                     56,                0.94666,                 0.5102,                  1.168,                0.94124,                0.87422,                0.91103,                0.77039,                0.77804,                0.64805,                 1.0331,             9.8843e-05,             9.8843e-05,             9.8843e-05
                     57,                0.93845,                 0.5158,                 1.1679,                0.95438,                0.88098,                0.91419,                  0.771,                0.78695,                0.63473,                 1.0206,             9.6695e-05,             9.6695e-05,             9.6695e-05
                     58,                0.92995,                0.51723,                 1.1667,                0.94852,                0.87651,                0.91077,                0.76714,                0.79294,                0.63055,                 1.0478,             9.4547e-05,             9.4547e-05,             9.4547e-05
                     59,                0.92694,                0.51692,                 1.1625,                0.95533,                0.86776,                0.91168,                0.76577,                0.82884,                0.63709,                 1.0561,             9.2399e-05,             9.2399e-05,             9.2399e-05
                     60,                0.91456,                0.50221,                 1.1523,                0.94911,                0.87084,                0.90805,                0.76253,                0.80687,                0.65547,                 1.0374,              9.025e-05,              9.025e-05,              9.025e-05
                     61,                0.91097,                0.50131,                 1.1457,                0.93971,                0.88103,                0.91037,                0.76265,                0.80979,                0.64528,                 1.0483,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     62,                0.91003,                0.49738,                 1.1501,                0.95004,                0.86871,                0.90851,                0.76642,                0.78635,                0.63113,                 1.0407,             8.5954e-05,             8.5954e-05,             8.5954e-05
                     63,                0.89857,                0.49236,                 1.1371,                0.95223,                0.86866,                0.90808,                 0.7615,                0.79114,                0.63888,                 1.0383,             8.3805e-05,             8.3805e-05,             8.3805e-05
                     64,                0.88582,                0.49528,                 1.1267,                0.95389,                0.87088,                0.91054,                0.76562,                0.79755,                0.64877,                 1.0359,             8.1657e-05,             8.1657e-05,             8.1657e-05
                     65,                0.88846,                 0.4872,                 1.1316,                0.95046,                0.87154,                 0.9074,                0.76635,                0.77996,                0.64016,                 1.0297,             7.9509e-05,             7.9509e-05,             7.9509e-05
                     66,                  0.877,                0.48393,                 1.1199,                0.94406,                0.87847,                 0.9103,                0.76468,                0.80431,                0.65368,                 1.0447,              7.736e-05,              7.736e-05,              7.736e-05
                     67,                0.86861,                0.47763,                 1.1198,                0.94795,                0.87819,                0.91249,                0.76799,                0.78274,                  0.684,                  1.022,             7.5212e-05,             7.5212e-05,             7.5212e-05
                     68,                0.87521,                0.48226,                 1.1221,                0.95212,                0.87398,                 0.9106,                0.76777,                0.78059,                0.63527,                 1.0274,             7.3064e-05,             7.3064e-05,             7.3064e-05
                     69,                0.85906,                0.47462,                 1.1132,                0.94332,                0.87793,                0.91308,                0.77029,                0.78806,                0.64294,                 1.0348,             7.0916e-05,             7.0916e-05,             7.0916e-05
